# Fork: 1 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 66975.634 ops/ms
# Warmup Iteration   2: 96486.816 ops/ms
# Warmup Iteration   3: 99146.993 ops/ms
# Warmup Iteration   4: 100027.182 ops/ms
# Warmup Iteration   5: 98401.411 ops/ms
# Warmup Iteration   6: 100178.970 ops/ms
# Warmup Iteration   7: 99804.540 ops/ms
# Warmup Iteration   8: 97902.186 ops/ms
# Warmup Iteration   9: 95553.951 ops/ms
# Warmup Iteration  10: 99645.220 ops/ms
# Warmup Iteration  11: 104260.926 ops/ms
# Warmup Iteration  12: 104666.187 ops/ms
# Warmup Iteration  13: 104725.015 ops/ms
# Warmup Iteration  14: 104047.761 ops/ms
# Warmup Iteration  15: 104042.821 ops/ms
# Warmup Iteration  16: 104465.278 ops/ms
# Warmup Iteration  17: 104438.223 ops/ms
# Warmup Iteration  18: 104513.600 ops/ms
# Warmup Iteration  19: 104475.387 ops/ms
# Warmup Iteration  20: 104667.197 ops/ms
Iteration   1: 104177.036 ops/ms
Iteration   2: 104645.955 ops/ms
Iteration   3: 104893.880 ops/ms
Iteration   4: 104201.116 ops/ms
Iteration   5: 104858.607 ops/ms
Iteration   6: 104217.369 ops/ms
Iteration   7: 105008.280 ops/ms
Iteration   8: 104235.258 ops/ms
Iteration   9: 104188.030 ops/ms
Iteration  10: 103317.132 ops/ms
Iteration  11: 104230.908 ops/ms
Iteration  12: 104897.598 ops/ms
Iteration  13: 104521.888 ops/ms
Iteration  14: 104523.959 ops/ms
Iteration  15: 104697.674 ops/ms
Iteration  16: 104240.771 ops/ms
Iteration  17: 104478.586 ops/ms
Iteration  18: 104542.008 ops/ms
Iteration  19: 104764.847 ops/ms
Iteration  20: 104858.220 ops/ms

Result : 104474.956 ?(95%) 183.769 ?(99%) 251.200 ops/ms
  Statistics: (min, avg, max) = (103317.132, 104474.956, 105008.280), stdev = 392.661
  Confidence intervals: 95% [104291.187, 104658.725], 99% [104223.756, 104726.156]


# Fork: 2 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 67112.648 ops/ms
# Warmup Iteration   2: 95467.894 ops/ms
# Warmup Iteration   3: 99855.950 ops/ms
# Warmup Iteration   4: 99436.139 ops/ms
# Warmup Iteration   5: 99410.022 ops/ms
# Warmup Iteration   6: 99677.027 ops/ms
# Warmup Iteration   7: 99947.560 ops/ms
# Warmup Iteration   8: 99714.248 ops/ms
# Warmup Iteration   9: 101665.046 ops/ms
# Warmup Iteration  10: 104520.704 ops/ms
# Warmup Iteration  11: 104716.722 ops/ms
# Warmup Iteration  12: 104614.476 ops/ms
# Warmup Iteration  13: 104842.221 ops/ms
# Warmup Iteration  14: 104844.732 ops/ms
# Warmup Iteration  15: 103358.113 ops/ms
# Warmup Iteration  16: 103959.436 ops/ms
# Warmup Iteration  17: 104303.967 ops/ms
# Warmup Iteration  18: 104862.784 ops/ms
# Warmup Iteration  19: 104913.205 ops/ms
# Warmup Iteration  20: 104745.230 ops/ms
Iteration   1: 104537.869 ops/ms
Iteration   2: 104744.413 ops/ms
Iteration   3: 105237.523 ops/ms
Iteration   4: 104262.694 ops/ms
Iteration   5: 104557.860 ops/ms
Iteration   6: 104303.144 ops/ms
Iteration   7: 104607.344 ops/ms
Iteration   8: 104305.912 ops/ms
Iteration   9: 104675.577 ops/ms
Iteration  10: 104616.023 ops/ms
Iteration  11: 104729.408 ops/ms
Iteration  12: 104313.949 ops/ms
Iteration  13: 104533.987 ops/ms
Iteration  14: 104004.477 ops/ms
Iteration  15: 104865.607 ops/ms
Iteration  16: 104133.644 ops/ms
Iteration  17: 104156.972 ops/ms
Iteration  18: 104472.028 ops/ms
Iteration  19: 104787.013 ops/ms
Iteration  20: 103888.011 ops/ms

Result : 104486.673 ?(95%) 150.724 ?(99%) 206.030 ops/ms
  Statistics: (min, avg, max) = (103888.011, 104486.673, 105237.523), stdev = 322.053
  Confidence intervals: 95% [104335.949, 104637.396], 99% [104280.643, 104692.703]


# Fork: 3 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 67304.225 ops/ms
# Warmup Iteration   2: 95575.973 ops/ms
# Warmup Iteration   3: 99726.905 ops/ms
# Warmup Iteration   4: 99522.922 ops/ms
# Warmup Iteration   5: 99798.092 ops/ms
# Warmup Iteration   6: 99553.289 ops/ms
# Warmup Iteration   7: 99835.020 ops/ms
# Warmup Iteration   8: 99820.710 ops/ms
# Warmup Iteration   9: 101843.417 ops/ms
# Warmup Iteration  10: 104219.027 ops/ms
# Warmup Iteration  11: 104430.851 ops/ms
# Warmup Iteration  12: 104915.531 ops/ms
# Warmup Iteration  13: 104719.477 ops/ms
# Warmup Iteration  14: 104450.663 ops/ms
# Warmup Iteration  15: 104337.720 ops/ms
# Warmup Iteration  16: 104372.536 ops/ms
# Warmup Iteration  17: 104605.849 ops/ms
# Warmup Iteration  18: 104538.751 ops/ms
# Warmup Iteration  19: 104677.700 ops/ms
# Warmup Iteration  20: 104571.507 ops/ms
Iteration   1: 104409.762 ops/ms
Iteration   2: 104317.059 ops/ms
Iteration   3: 104663.576 ops/ms
Iteration   4: 103132.594 ops/ms
Iteration   5: 104284.668 ops/ms
Iteration   6: 104561.209 ops/ms
Iteration   7: 104625.446 ops/ms
Iteration   8: 104281.956 ops/ms
Iteration   9: 104685.837 ops/ms
Iteration  10: 104243.313 ops/ms
Iteration  11: 104559.532 ops/ms
Iteration  12: 104531.415 ops/ms
Iteration  13: 104449.700 ops/ms
Iteration  14: 104534.502 ops/ms
Iteration  15: 104373.229 ops/ms
Iteration  16: 104481.573 ops/ms
Iteration  17: 104529.917 ops/ms
Iteration  18: 104726.425 ops/ms
Iteration  19: 104446.048 ops/ms
Iteration  20: 104100.177 ops/ms

Result : 104396.897 ?(95%) 158.491 ?(99%) 216.647 ops/ms
  Statistics: (min, avg, max) = (103132.594, 104396.897, 104726.425), stdev = 338.649
  Confidence intervals: 95% [104238.406, 104555.388], 99% [104180.250, 104613.544]


# Fork: 4 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 68167.227 ops/ms
# Warmup Iteration   2: 95961.409 ops/ms
# Warmup Iteration   3: 98255.763 ops/ms
# Warmup Iteration   4: 98567.718 ops/ms
# Warmup Iteration   5: 99660.929 ops/ms
# Warmup Iteration   6: 98938.456 ops/ms
# Warmup Iteration   7: 98943.072 ops/ms
# Warmup Iteration   8: 98834.383 ops/ms
# Warmup Iteration   9: 99900.122 ops/ms
# Warmup Iteration  10: 104125.739 ops/ms
# Warmup Iteration  11: 103825.822 ops/ms
# Warmup Iteration  12: 103468.752 ops/ms
# Warmup Iteration  13: 103811.674 ops/ms
# Warmup Iteration  14: 103593.562 ops/ms
# Warmup Iteration  15: 103782.073 ops/ms
# Warmup Iteration  16: 103852.388 ops/ms
# Warmup Iteration  17: 104804.533 ops/ms
# Warmup Iteration  18: 104773.392 ops/ms
# Warmup Iteration  19: 104760.996 ops/ms
# Warmup Iteration  20: 105022.326 ops/ms
Iteration   1: 104903.989 ops/ms
Iteration   2: 105147.880 ops/ms
Iteration   3: 105208.328 ops/ms
Iteration   4: 104690.070 ops/ms
Iteration   5: 104854.633 ops/ms
Iteration   6: 104778.465 ops/ms
Iteration   7: 105332.671 ops/ms
Iteration   8: 105060.710 ops/ms
Iteration   9: 104983.326 ops/ms
Iteration  10: 104279.052 ops/ms
Iteration  11: 104577.364 ops/ms
Iteration  12: 104930.788 ops/ms
Iteration  13: 105085.917 ops/ms
Iteration  14: 103775.461 ops/ms
Iteration  15: 104958.792 ops/ms
Iteration  16: 105283.147 ops/ms
Iteration  17: 105180.567 ops/ms
Iteration  18: 105117.993 ops/ms
Iteration  19: 105157.416 ops/ms
Iteration  20: 105336.885 ops/ms

Result : 104932.173 ?(95%) 177.730 ?(99%) 242.946 ops/ms
  Statistics: (min, avg, max) = (103775.461, 104932.173, 105336.885), stdev = 379.757
  Confidence intervals: 95% [104754.443, 105109.903], 99% [104689.227, 105175.118]


# Fork: 5 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 67297.759 ops/ms
# Warmup Iteration   2: 96251.591 ops/ms
# Warmup Iteration   3: 99722.365 ops/ms
# Warmup Iteration   4: 99748.452 ops/ms
# Warmup Iteration   5: 99814.794 ops/ms
# Warmup Iteration   6: 99827.848 ops/ms
# Warmup Iteration   7: 99843.693 ops/ms
# Warmup Iteration   8: 99582.546 ops/ms
# Warmup Iteration   9: 101529.620 ops/ms
# Warmup Iteration  10: 105082.503 ops/ms
# Warmup Iteration  11: 104884.306 ops/ms
# Warmup Iteration  12: 96560.025 ops/ms
# Warmup Iteration  13: 104892.770 ops/ms
# Warmup Iteration  14: 104917.285 ops/ms
# Warmup Iteration  15: 104603.197 ops/ms
# Warmup Iteration  16: 104961.849 ops/ms
# Warmup Iteration  17: 105046.006 ops/ms
# Warmup Iteration  18: 104520.648 ops/ms
# Warmup Iteration  19: 105045.062 ops/ms
# Warmup Iteration  20: 104867.041 ops/ms
Iteration   1: 104834.134 ops/ms
Iteration   2: 105085.472 ops/ms
Iteration   3: 104888.929 ops/ms
Iteration   4: 104641.335 ops/ms
Iteration   5: 104500.742 ops/ms
Iteration   6: 104803.988 ops/ms
