# Fork: 1 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 65032.205 ops/ms
# Warmup Iteration   2: 95592.116 ops/ms
# Warmup Iteration   3: 103466.432 ops/ms
# Warmup Iteration   4: 102469.807 ops/ms
# Warmup Iteration   5: 102764.105 ops/ms
# Warmup Iteration   6: 102485.343 ops/ms
# Warmup Iteration   7: 102633.379 ops/ms
# Warmup Iteration   8: 101301.730 ops/ms
# Warmup Iteration   9: 103126.766 ops/ms
# Warmup Iteration  10: 102789.601 ops/ms
# Warmup Iteration  11: 99516.077 ops/ms
# Warmup Iteration  12: 102735.323 ops/ms
# Warmup Iteration  13: 103575.392 ops/ms
# Warmup Iteration  14: 102421.099 ops/ms
# Warmup Iteration  15: 101391.918 ops/ms
# Warmup Iteration  16: 102425.567 ops/ms
# Warmup Iteration  17: 103220.045 ops/ms
# Warmup Iteration  18: 103160.723 ops/ms
# Warmup Iteration  19: 102112.962 ops/ms
# Warmup Iteration  20: 102151.862 ops/ms
Iteration   1: 103117.950 ops/ms
Iteration   2: 102666.623 ops/ms
Iteration   3: 101940.849 ops/ms
Iteration   4: 100635.129 ops/ms
Iteration   5: 102839.173 ops/ms
Iteration   6: 102885.990 ops/ms
Iteration   7: 103493.575 ops/ms
Iteration   8: 102193.709 ops/ms
Iteration   9: 102222.599 ops/ms
Iteration  10: 102593.469 ops/ms
Iteration  11: 102600.854 ops/ms
Iteration  12: 100215.047 ops/ms
Iteration  13: 102885.155 ops/ms
Iteration  14: 102890.573 ops/ms
Iteration  15: 101756.019 ops/ms
Iteration  16: 101299.866 ops/ms
Iteration  17: 103148.840 ops/ms
Iteration  18: 102932.979 ops/ms
Iteration  19: 102816.824 ops/ms
Iteration  20: 100526.941 ops/ms

Result : 102283.108 ?(95%) 440.311 ?(99%) 601.877 ops/ms
  Statistics: (min, avg, max) = (100215.047, 102283.108, 103493.575), stdev = 940.817
  Confidence intervals: 95% [101842.797, 102723.419], 99% [101681.231, 102884.986]


# Fork: 2 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 68584.271 ops/ms
# Warmup Iteration   2: 100499.166 ops/ms
# Warmup Iteration   3: 102546.004 ops/ms
# Warmup Iteration   4: 100925.145 ops/ms
# Warmup Iteration   5: 101533.014 ops/ms
# Warmup Iteration   6: 102707.859 ops/ms
# Warmup Iteration   7: 103775.743 ops/ms
# Warmup Iteration   8: 99622.899 ops/ms
# Warmup Iteration   9: 104667.900 ops/ms
# Warmup Iteration  10: 102683.112 ops/ms
# Warmup Iteration  11: 104139.872 ops/ms
# Warmup Iteration  12: 100250.728 ops/ms
# Warmup Iteration  13: 102836.722 ops/ms
# Warmup Iteration  14: 103294.508 ops/ms
# Warmup Iteration  15: 102681.324 ops/ms
# Warmup Iteration  16: 102333.323 ops/ms
# Warmup Iteration  17: 101438.572 ops/ms
# Warmup Iteration  18: 104003.837 ops/ms
# Warmup Iteration  19: 100843.601 ops/ms
# Warmup Iteration  20: 103704.533 ops/ms
Iteration   1: 103759.288 ops/ms
Iteration   2: 104006.302 ops/ms
Iteration   3: 103234.799 ops/ms
Iteration   4: 103008.410 ops/ms
Iteration   5: 103039.046 ops/ms
Iteration   6: 103537.365 ops/ms
Iteration   7: 102904.700 ops/ms
Iteration   8: 101496.365 ops/ms
Iteration   9: 103222.528 ops/ms
Iteration  10: 102070.089 ops/ms
Iteration  11: 102981.435 ops/ms
Iteration  12: 102598.643 ops/ms
Iteration  13: 99822.128 ops/ms
Iteration  14: 103824.543 ops/ms
Iteration  15: 102294.143 ops/ms
Iteration  16: 102432.836 ops/ms
Iteration  17: 101726.014 ops/ms
Iteration  18: 102589.512 ops/ms
Iteration  19: 103077.887 ops/ms
Iteration  20: 103987.954 ops/ms

Result : 102780.699 ?(95%) 464.185 ?(99%) 634.512 ops/ms
  Statistics: (min, avg, max) = (99822.128, 102780.699, 104006.302), stdev = 991.829
  Confidence intervals: 95% [102316.514, 103244.884], 99% [102146.187, 103415.211]


# Fork: 3 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 65327.409 ops/ms
# Warmup Iteration   2: 99925.069 ops/ms
# Warmup Iteration   3: 101797.586 ops/ms
# Warmup Iteration   4: 98734.207 ops/ms
# Warmup Iteration   5: 100131.673 ops/ms
# Warmup Iteration   6: 100892.733 ops/ms
# Warmup Iteration   7: 100110.598 ops/ms
# Warmup Iteration   8: 99911.875 ops/ms
# Warmup Iteration   9: 99943.973 ops/ms
# Warmup Iteration  10: 97963.104 ops/ms
# Warmup Iteration  11: 100834.928 ops/ms
# Warmup Iteration  12: 98739.690 ops/ms
# Warmup Iteration  13: 96830.322 ops/ms
# Warmup Iteration  14: 101406.946 ops/ms
# Warmup Iteration  15: 101478.714 ops/ms
# Warmup Iteration  16: 102170.832 ops/ms
# Warmup Iteration  17: 101294.515 ops/ms
# Warmup Iteration  18: 101392.974 ops/ms
# Warmup Iteration  19: 103152.229 ops/ms
# Warmup Iteration  20: 102934.551 ops/ms
Iteration   1: 101699.038 ops/ms
Iteration   2: 102292.865 ops/ms
Iteration   3: 102233.471 ops/ms
Iteration   4: 102106.926 ops/ms
Iteration   5: 103409.918 ops/ms
Iteration   6: 100765.630 ops/ms
Iteration   7: 103725.867 ops/ms
Iteration   8: 102215.128 ops/ms
Iteration   9: 102524.231 ops/ms
Iteration  10: 100466.227 ops/ms
Iteration  11: 103059.719 ops/ms
Iteration  12: 102079.964 ops/ms
Iteration  13: 103368.302 ops/ms
Iteration  14: 100666.436 ops/ms
Iteration  15: 102863.352 ops/ms
Iteration  16: 103031.029 ops/ms
Iteration  17: 102525.996 ops/ms
Iteration  18: 100555.105 ops/ms
Iteration  19: 102493.672 ops/ms
Iteration  20: 103402.398 ops/ms

Result : 102274.264 ?(95%) 468.807 ?(99%) 640.830 ops/ms
  Statistics: (min, avg, max) = (100466.227, 102274.264, 103725.867), stdev = 1001.705
  Confidence intervals: 95% [101805.457, 102743.071], 99% [101633.434, 102915.094]


# Fork: 4 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 67073.060 ops/ms
# Warmup Iteration   2: 97302.060 ops/ms
# Warmup Iteration   3: 102258.981 ops/ms
# Warmup Iteration   4: 102860.845 ops/ms
# Warmup Iteration   5: 102903.677 ops/ms
# Warmup Iteration   6: 99459.718 ops/ms
# Warmup Iteration   7: 102351.914 ops/ms
# Warmup Iteration   8: 103732.457 ops/ms
# Warmup Iteration   9: 103291.177 ops/ms
# Warmup Iteration  10: 100140.794 ops/ms
# Warmup Iteration  11: 102621.512 ops/ms
# Warmup Iteration  12: 103058.190 ops/ms
# Warmup Iteration  13: 103229.033 ops/ms
# Warmup Iteration  14: 100861.026 ops/ms
# Warmup Iteration  15: 102437.340 ops/ms
# Warmup Iteration  16: 102727.157 ops/ms
# Warmup Iteration  17: 103230.828 ops/ms
# Warmup Iteration  18: 101939.920 ops/ms
# Warmup Iteration  19: 103603.657 ops/ms
# Warmup Iteration  20: 104421.640 ops/ms
Iteration   1: 103185.563 ops/ms
Iteration   2: 101963.217 ops/ms
Iteration   3: 101889.692 ops/ms
Iteration   4: 103632.572 ops/ms
Iteration   5: 102294.669 ops/ms
Iteration   6: 103041.189 ops/ms
Iteration   7: 100965.631 ops/ms
Iteration   8: 103758.886 ops/ms
Iteration   9: 102960.195 ops/ms
Iteration  10: 102627.223 ops/ms
Iteration  11: 101487.662 ops/ms
Iteration  12: 103370.887 ops/ms
Iteration  13: 102586.829 ops/ms
Iteration  14: 102800.826 ops/ms
Iteration  15: 101024.966 ops/ms
Iteration  16: 102996.657 ops/ms
Iteration  17: 102126.183 ops/ms
Iteration  18: 103316.565 ops/ms
Iteration  19: 100563.595 ops/ms
Iteration  20: 103411.288 ops/ms

Result : 102500.215 ?(95%) 437.529 ?(99%) 598.075 ops/ms
  Statistics: (min, avg, max) = (100563.595, 102500.215, 103758.887), stdev = 934.873
  Confidence intervals: 95% [102062.686, 102937.744], 99% [101902.140, 103098.289]


# Fork: 5 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
