# Fork: 1 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 65638.745 ops/ms
# Warmup Iteration   2: 97702.405 ops/ms
# Warmup Iteration   3: 99835.743 ops/ms
# Warmup Iteration   4: 101204.574 ops/ms
# Warmup Iteration   5: 102432.979 ops/ms
# Warmup Iteration   6: 102196.556 ops/ms
# Warmup Iteration   7: 103061.636 ops/ms
# Warmup Iteration   8: 100831.067 ops/ms
# Warmup Iteration   9: 102484.383 ops/ms
# Warmup Iteration  10: 100688.843 ops/ms
# Warmup Iteration  11: 83381.874 ops/ms
# Warmup Iteration  12: 88112.232 ops/ms
# Warmup Iteration  13: 91097.541 ops/ms
# Warmup Iteration  14: 94465.671 ops/ms
# Warmup Iteration  15: 84159.819 ops/ms
# Warmup Iteration  16: 85640.094 ops/ms
# Warmup Iteration  17: 96686.230 ops/ms
# Warmup Iteration  18: 96978.547 ops/ms
# Warmup Iteration  19: 102954.570 ops/ms
# Warmup Iteration  20: 98951.026 ops/ms
Iteration   1: 102078.376 ops/ms
Iteration   2: 102759.474 ops/ms
Iteration   3: 102036.569 ops/ms
Iteration   4: 102753.799 ops/ms
Iteration   5: 102062.182 ops/ms
Iteration   6: 90300.656 ops/ms
Iteration   7: 97940.992 ops/ms
Iteration   8: 96042.041 ops/ms
Iteration   9: 102613.996 ops/ms
Iteration  10: 103051.238 ops/ms
Iteration  11: 103509.913 ops/ms
Iteration  12: 99772.888 ops/ms
Iteration  13: 103343.930 ops/ms
Iteration  14: 102083.045 ops/ms
Iteration  15: 102790.260 ops/ms
Iteration  16: 92679.155 ops/ms
Iteration  17: 94992.595 ops/ms
Iteration  18: 94126.778 ops/ms
Iteration  19: 100163.327 ops/ms
Iteration  20: 99923.626 ops/ms

Result : 99751.242 ?(95%) 1877.200 ?(99%) 2566.014 ops/ms
  Statistics: (min, avg, max) = (90300.656, 99751.242, 103509.913), stdev = 4011.033
  Confidence intervals: 95% [97874.043, 101628.442], 99% [97185.228, 102317.256]


# Fork: 2 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 66959.381 ops/ms
# Warmup Iteration   2: 99570.365 ops/ms
# Warmup Iteration   3: 102837.855 ops/ms
# Warmup Iteration   4: 99121.170 ops/ms
# Warmup Iteration   5: 100304.762 ops/ms
# Warmup Iteration   6: 99748.056 ops/ms
# Warmup Iteration   7: 102890.121 ops/ms
# Warmup Iteration   8: 94126.984 ops/ms
# Warmup Iteration   9: 102075.750 ops/ms
# Warmup Iteration  10: 101721.779 ops/ms
# Warmup Iteration  11: 92394.660 ops/ms
# Warmup Iteration  12: 100153.875 ops/ms
# Warmup Iteration  13: 99042.677 ops/ms
# Warmup Iteration  14: 86719.166 ops/ms
# Warmup Iteration  15: 94400.439 ops/ms
# Warmup Iteration  16: 91150.953 ops/ms
# Warmup Iteration  17: 98623.107 ops/ms
# Warmup Iteration  18: 98393.435 ops/ms
# Warmup Iteration  19: 95591.456 ops/ms
# Warmup Iteration  20: 95230.133 ops/ms
Iteration   1: 102340.737 ops/ms
Iteration   2: 96919.839 ops/ms
Iteration   3: 97838.950 ops/ms
Iteration   4: 101964.567 ops/ms
Iteration   5: 96349.178 ops/ms
Iteration   6: 98705.410 ops/ms
Iteration   7: 95788.320 ops/ms
Iteration   8: 95568.066 ops/ms
Iteration   9: 96157.347 ops/ms
Iteration  10: 84768.822 ops/ms
Iteration  11: 90899.501 ops/ms
Iteration  12: 102063.967 ops/ms
Iteration  13: 103351.309 ops/ms
Iteration  14: 102406.675 ops/ms
Iteration  15: 87627.877 ops/ms
Iteration  16: 101746.981 ops/ms
Iteration  17: 102914.855 ops/ms
Iteration  18: 99409.592 ops/ms
Iteration  19: 92642.761 ops/ms
Iteration  20: 95681.202 ops/ms

Result : 97257.298 ?(95%) 2434.303 ?(99%) 3327.540 ops/ms
  Statistics: (min, avg, max) = (84768.822, 97257.298, 103351.309), stdev = 5201.402
  Confidence intervals: 95% [94822.995, 99691.601], 99% [93929.758, 100584.838]


# Fork: 3 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 63863.480 ops/ms
# Warmup Iteration   2: 88610.623 ops/ms
# Warmup Iteration   3: 96709.966 ops/ms
# Warmup Iteration   4: 87909.773 ops/ms
# Warmup Iteration   5: 92217.123 ops/ms
# Warmup Iteration   6: 93883.171 ops/ms
# Warmup Iteration   7: 93679.696 ops/ms
# Warmup Iteration   8: 87790.513 ops/ms
# Warmup Iteration   9: 87909.110 ops/ms
# Warmup Iteration  10: 95736.551 ops/ms
# Warmup Iteration  11: 93282.283 ops/ms
# Warmup Iteration  12: 91526.205 ops/ms
# Warmup Iteration  13: 97207.986 ops/ms
# Warmup Iteration  14: 100613.647 ops/ms
# Warmup Iteration  15: 102150.034 ops/ms
# Warmup Iteration  16: 98860.426 ops/ms
# Warmup Iteration  17: 103938.519 ops/ms
# Warmup Iteration  18: 103223.803 ops/ms
# Warmup Iteration  19: 103792.554 ops/ms
# Warmup Iteration  20: 103619.226 ops/ms
Iteration   1: 103634.346 ops/ms
Iteration   2: 101068.523 ops/ms
Iteration   3: 102767.572 ops/ms
Iteration   4: 103370.993 ops/ms
Iteration   5: 102386.314 ops/ms
Iteration   6: 102359.792 ops/ms
Iteration   7: 103553.343 ops/ms
Iteration   8: 102708.019 ops/ms
Iteration   9: 102724.175 ops/ms
Iteration  10: 99755.891 ops/ms
Iteration  11: 102761.750 ops/ms
Iteration  12: 103850.208 ops/ms
Iteration  13: 102645.404 ops/ms
Iteration  14: 100203.530 ops/ms
Iteration  15: 103587.272 ops/ms
Iteration  16: 103072.105 ops/ms
Iteration  17: 103870.636 ops/ms
Iteration  18: 99892.985 ops/ms
Iteration  19: 100960.468 ops/ms
Iteration  20: 103730.173 ops/ms

Result : 102445.175 ?(95%) 627.224 ?(99%) 857.375 ops/ms
  Statistics: (min, avg, max) = (99755.891, 102445.175, 103870.636), stdev = 1340.196
  Confidence intervals: 95% [101817.951, 103072.399], 99% [101587.800, 103302.550]


# Fork: 4 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 66914.136 ops/ms
# Warmup Iteration   2: 96901.752 ops/ms
# Warmup Iteration   3: 102967.797 ops/ms
# Warmup Iteration   4: 102922.858 ops/ms
# Warmup Iteration   5: 103137.681 ops/ms
# Warmup Iteration   6: 99557.639 ops/ms
# Warmup Iteration   7: 103870.108 ops/ms
# Warmup Iteration   8: 103225.441 ops/ms
# Warmup Iteration   9: 102463.228 ops/ms
# Warmup Iteration  10: 99221.446 ops/ms
# Warmup Iteration  11: 102210.870 ops/ms
# Warmup Iteration  12: 103630.241 ops/ms
# Warmup Iteration  13: 103449.533 ops/ms
# Warmup Iteration  14: 101488.549 ops/ms
# Warmup Iteration  15: 103255.987 ops/ms
# Warmup Iteration  16: 102313.324 ops/ms
# Warmup Iteration  17: 102968.096 ops/ms
# Warmup Iteration  18: 103251.909 ops/ms
# Warmup Iteration  19: 100769.502 ops/ms
# Warmup Iteration  20: 103432.487 ops/ms
Iteration   1: 102051.691 ops/ms
Iteration   2: 102789.070 ops/ms
Iteration   3: 99308.455 ops/ms
Iteration   4: 101852.232 ops/ms
Iteration   5: 104194.525 ops/ms
Iteration   6: 102519.546 ops/ms
Iteration   7: 100418.601 ops/ms
Iteration   8: 103038.832 ops/ms
Iteration   9: 102339.039 ops/ms
Iteration  10: 103756.356 ops/ms
Iteration  11: 99438.769 ops/ms
Iteration  12: 103491.024 ops/ms
Iteration  13: 103147.524 ops/ms
Iteration  14: 103290.806 ops/ms
Iteration  15: 101884.493 ops/ms
Iteration  16: 102217.306 ops/ms
Iteration  17: 104013.637 ops/ms
Iteration  18: 103528.475 ops/ms
Iteration  19: 101023.486 ops/ms
Iteration  20: 103411.842 ops/ms

Result : 102385.786 ?(95%) 661.386 ?(99%) 904.073 ops/ms
  Statistics: (min, avg, max) = (99308.455, 102385.786, 104194.525), stdev = 1413.190
  Confidence intervals: 95% [101724.400, 103047.171], 99% [101481.713, 103289.858]


# Fork: 5 of 5
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Running: com.vyazelenko.blog.copyobject.primitives.PrimitiveBenchmark.copyByClone
# Warmup Iteration   1: 66435.015 ops/ms
# Warmup Iteration   2: 98695.848 ops/ms
# Warmup Iteration   3: 99701.730 ops/ms
# Warmup Iteration   4: 102823.926 ops/ms
# Warmup Iteration   5: 103665.552 ops/ms
# Warmup Iteration   6: 103313.276 ops/ms
# Warmup Iteration   7: 100965.442 ops/ms
# Warmup Iteration   8: 102705.481 ops/ms
# Warmup Iteration   9: 102789.821 ops/ms
# Warmup Iteration  10: 103962.712 ops/ms
# Warmup Iteration  11: 101129.386 ops/ms
# Warmup Iteration  12: 103050.678 ops/ms
# Warmup Iteration  13: 103200.267 ops/ms
# Warmup Iteration  14: 103720.661 ops/ms
# Warmup Iteration  15: 103506.863 ops/ms
# Warmup Iteration  16: 101155.438 ops/ms
# Warmup Iteration  17: 103453.261 ops/ms
# Warmup Iteration  18: 103050.123 ops/ms
# Warmup Iteration  19: 102333.419 ops/ms
# Warmup Iteration  20: 100222.640 ops/ms
Iteration   1: 103380.260 ops/ms
Iteration   2: 103757.003 ops/ms
Iteration   3: 102670.842 ops/ms
Iteration   4: 99355.358 ops/ms
Iteration   5: 103385.837 ops/ms
Iteration   6: 103458.918 ops/ms
Iteration   7: 103303.500 ops/ms
Iteration   8: 98043.314 ops/ms
Iteration   9: 103619.231 ops/ms
Iteration  10: 102507.824 ops/ms
Iteration  11: 102864.598 ops/ms
Iteration  12: 101099.783 ops/ms
Iteration  13: 102175.222 ops/ms
Iteration  14: 103476.109 ops/ms
Iteration  15: 102544.545 ops/ms
Iteration  16: 100029.788 ops/ms
Iteration  17: 103599.553 ops/ms
Iteration  18: 103097.608 ops/ms
Iteration  19: 103174.983 ops/ms
